Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,CONECTIVIDAD
BUENOS AIRES,Bahía Blanca,Villa Bordeau,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
BUENOS AIRES,Bahía Blanca,Villa Espora,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Balcarce,Balcarce,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Balcarce,Los Pinos,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI
BUENOS AIRES,Balcarce,Napaleofú,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Balcarce,Ramos Otero,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI
BUENOS AIRES,Balcarce,San Agustín,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI
BUENOS AIRES,Balcarce,Villa Laguna La Brava,NO,NO,NO,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Baradero,Baradero,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Baradero,Irineo Portela,NO,NO,NO,SI,NO,NO,SI,SI,SI,SI
BUENOS AIRES,Baradero,Santa Coloma,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI
BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),SI,NO,NO,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Benito Juárez,Barker,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Futaleufú,Lago Rosario,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,General Las Heras,La Choza,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,General Las Heras,Lozano,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI
BUENOS AIRES,General Las Heras,Plomer,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI
BUENOS AIRES,General Las Heras,Villars,NO,SI,SI,SI,NO,NO,SI,NO,NO,SI
BUENOS AIRES,General Lavalle,Chacras de San Clemente,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
BUENOS AIRES,General Lavalle,General Lavalle,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General Lavalle,Pavón,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI
BUENOS AIRES,General Paz,Barrio Río Salado,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,General Paz,Loma Verde,NO,NO,NO,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,General Paz,Ranchos,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,General Paz,Villanueva (Ap. Río Salado),NO,NO,NO,NO,NO,NO,SI,SI,NO,SI
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),SI,NO,NO,NO,SI,SI,SI,SI,NO,SI
MISIONES,San Ignacio,General Urquiza,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),NO,SI,NO,SI,SI,NO,SI,NO,NO,SI
BUENOS AIRES,Magdalena,Los Naranjos,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI
BUENOS AIRES,Magdalena,Magdalena,SI,SI,SI,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Magdalena,Roberto J. Payró,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
BUENOS AIRES,Magdalena,Vieytes,NO,NO,NO,SI,NO,NO,SI,SI,NO,SI
BUENOS AIRES,Maipú,Las Armas,SI,NO,NO,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Maipú,Maipú,SI,NO,SI,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Maipú,Santo Domingo,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,SI,NO,NO,SI,SI,SI,NO,NO,NO,SI
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,SI,SI,NO,SI,SI,SI,SI,NO,NO,SI
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,San Fernando,San Fernando,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,San Fernando,Victoria,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Fernando,Virreyes,SI,SI,NO,SI,SI,SI,SI,NO,NO,SI
BUENOS AIRES,San Isidro,Acassuso,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI
BUENOS AIRES,San Isidro,Beccar,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,San Isidro,Boulogne Sur Mer,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI
CABA,COMUNA 04,NUEVA POMPEYA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHACO,San Fernando,Fontana,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI
CHACO,San Fernando,Puerto Vilelas,NO,NO,NO,SI,SI,SI,NO,NO,SI,SI
CHACO,San Fernando,Resistencia,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHACO,San Lorenzo,Samuhú,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI
BUENOS AIRES,Tandil,Desvío Aguirre,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI
BUENOS AIRES,Tandil,Gardey,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Tandil,María Ignacia (Est. Vela),SI,NO,NO,NO,SI,NO,SI,SI,NO,SI
BUENOS AIRES,Tandil,Tandil,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Tapalqué,Crotto,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Tapalqué,Tapalqué,NO,NO,NO,NO,SI,SI,SI,NO,SI,SI
BUENOS AIRES,Tapalqué,Velloso,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Tigre,Benavídez,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Tigre,Dique Luján,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI
CABA,COMUNA 10,FLORESTA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Futaleufú,Los Cipreses,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI
CHUBUT,Futaleufú,Trevelín,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI
CHUBUT,Futaleufú,Villa Futalaufquen,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI
CHUBUT,Gaiman,28 de Julio,NO,NO,NO,SI,SI,SI,NO,NO,SI,SI
CHUBUT,Gaiman,Dique Florentino Ameghino,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI
CHUBUT,Gaiman,Dolavon,NO,NO,SI,SI,SI,NO,SI,NO,SI,SI
BUENOS AIRES,San Isidro,Martínez,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Isidro,San Isidro,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Isidro,Villa Adelina,SI,SI,NO,SI,SI,SI,SI,NO,NO,SI
BUENOS AIRES,San Miguel,Bella Vista,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Miguel,Campo De Mayo,NO,NO,NO,NO,SI,SI,NO,NO,SI,SI
BUENOS AIRES,San Miguel,Muñiz,SI,SI,SI,SI,SI,SI,SI,NO,NO,SI
CORDOBA,Cruz del Eje,Canteras Quilpo,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI
CORDOBA,Cruz del Eje,Cruz de Caña,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
BUENOS AIRES,Berisso,Berisso,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Berisso,Los Talas,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Berisso,Villa Arguello,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI
BUENOS AIRES,Berisso,Villa Dolores,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
BUENOS AIRES,Berisso,Villa Independencia,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Berisso,Villa Nueva,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI
BUENOS AIRES,Berisso,Villa Porteña,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Berisso,Villa Progreso,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI
BUENOS AIRES,Berisso,Villa San Carlos,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
BUENOS AIRES,Berisso,Villa Zula,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Bolívar,Hale,SI,NO,NO,NO,NO,NO,SI,NO,NO,SI
BUENOS AIRES,Bolívar,Juan F. Ibarra,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Bolívar,Mariano Unzué,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Bolívar,Paula,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI
BUENOS AIRES,Bolívar,Pirovano,NO,NO,NO,NO,NO,SI,SI,SI,NO,SI
BUENOS AIRES,Bolívar,San Carlos de Bolívar (Est. Bolívar),SI,SI,SI,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Bolívar,Urdampilleta,NO,NO,SI,NO,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Bolívar,Villa Lynch Pueyrredón,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Bragado,Asamblea,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CABA,COMUNA 12,VILLA URQUIZA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CORDOBA,Río Cuarto,Alpa Corral,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
CORDOBA,Río Cuarto,Berrotarán,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI
CORDOBA,Río Cuarto,Bulnes,SI,NO,NO,NO,SI,SI,NO,NO,SI,SI
CORDOBA,Río Cuarto,Chaján,NO,NO,NO,SI,SI,SI,SI,NO,SI,SI
CORDOBA,Río Cuarto,Chucul,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI
CORDOBA,Río Cuarto,Coronel Baigorria,NO,NO,NO,SI,SI,SI,NO,NO,NO,SI
CHACO,San Lorenzo,Villa Berthet,NO,NO,NO,SI,SI,SI,NO,SI,SI,SI
CHACO,Sargento Cabral,Capitán Solari,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI
CHACO,Sargento Cabral,Colonia Elisa,NO,NO,NO,NO,SI,SI,SI,NO,SI,SI
CHACO,Sargento Cabral,Colonias Unidas,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI
CHACO,Sargento Cabral,Ingeniero Barbet,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CHACO,Sargento Cabral,Las Garcitas,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI
CHACO,Tapenagá,Charadai,NO,NO,NO,SI,SI,SI,SI,NO,SI,SI
CHACO,Tapenagá,Cote Lai,NO,NO,NO,NO,SI,NO,SI,NO,NO,SI
CHACO,Tapenagá,Haumonía,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CHACO,Tapenagá,Horquilla,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CHACO,Tapenagá,La Sabana,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CHUBUT,Biedma,Arroyo Verde,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI
CHUBUT,Biedma,Puerto Madryn,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Biedma,Puerto Pirámide,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI
CHUBUT,Biedma,Quinta El Mirador,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI
CORDOBA,Cruz del Eje,Cruz del Eje,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI
CORDOBA,Cruz del Eje,El Brete,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI
CORDOBA,Cruz del Eje,El Rincón,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CORDOBA,Cruz del Eje,Guanaco Muerto,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
CORDOBA,Cruz del Eje,La Banda,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI
CORDOBA,Cruz del Eje,La Batea,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
CORDOBA,Cruz del Eje,La Higuera,SI,NO,NO,NO,SI,NO,SI,SI,NO,SI
CORDOBA,Cruz del Eje,Las Cañadas,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CORDOBA,Cruz del Eje,Las Playas,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI
CORDOBA,Cruz del Eje,Los Chañaritos,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI
CORDOBA,Cruz del Eje,Media Naranja,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
CORDOBA,Cruz del Eje,Paso Viejo,SI,NO,NO,NO,SI,SI,SI,SI,NO,SI
CORDOBA,Cruz del Eje,San Marcos Sierra,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI
CORDOBA,Cruz del Eje,Serrezuela,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI
CORDOBA,Cruz del Eje,Tuclame,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
BUENOS AIRES,General Pueyrredón,Chapadmalal,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General Pueyrredón,El Marquesado,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI
BUENOS AIRES,General Pueyrredón,Estacion Camet,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,SI,NO,NO,SI,SI,SI,NO,SI,SI,SI
BUENOS AIRES,General Pueyrredón,Mar del Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General Pueyrredón,Punta Mogotes,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,NO,NO,NO,SI,SI,SI,NO,NO,NO,SI
BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
CABA,COMUNA 05,ALMAGRO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Escalante,Comodoro Rivadavia,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Escalante,Diadema Argentina,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI
CHUBUT,Escalante,Km. 11 - Cuarteles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CHUBUT,Escalante,KM. 3 - General Mosconi,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
CHUBUT,Escalante,KM. 5 - Presidente Ortiz,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CHUBUT,Escalante,KM. 8 - Don Bosco,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
CABA,COMUNA 05,BOEDO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Escalante,Rada Tilly,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI
CHUBUT,Florentino Ameghino,Camarones,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI
CHUBUT,Florentino Ameghino,Garayalde,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
CHUBUT,Futaleufú,Aldea Escolar,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI
CHUBUT,Futaleufú,Corcovado,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI
CHUBUT,Futaleufú,Esquel,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Mar Chiquita,General Pirán,NO,NO,SI,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,Mar Chiquita,La Armonía,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI
BUENOS AIRES,Mar Chiquita,La Baliza,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI
BUENOS AIRES,Mar Chiquita,La Caleta,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI
BUENOS AIRES,Mar Chiquita,Mar Chiquita,NO,NO,NO,NO,SI,SI,SI,NO,NO,SI
BUENOS AIRES,Mar Chiquita,Mar de Cobo,SI,NO,SI,SI,NO,NO,SI,NO,NO,SI
BUENOS AIRES,Mar Chiquita,Playa Dorada,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI
BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,SI,NO,NO,SI,SI,SI,NO,SI,NO,SI
